zip_code,january,february,march,april,may,june,july,august,september,october,november,december
04653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04669,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04681,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04683,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04685,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
04921,38,23,14,13,36,59,54,23,18,19,25,38
04929,38,23,14,13,36,59,54,23,18,19,25,38
04932,38,23,14,13,36,59,54,23,18,19,25,38
04941,38,23,14,13,36,59,54,23,18,19,25,38
04949,38,23,14,13,36,59,54,23,18,19,25,38
04951,38,23,14,13,36,59,54,23,18,19,25,38
04952,38,23,14,13,36,59,54,23,18,19,25,38
04953,38,23,14,13,36,59,54,23,18,19,25,38
04965,38,23,14,13,36,59,54,23,18,19,25,38
04969,38,23,14,13,36,59,54,23,18,19,25,38
